year,production_GWh,available_GWh,imports_GWh,exports_GWh,household_GWh,industry_GWh,net_consumption_GWh
1990,14300.39,11832.054,823.394,799.2139999999999,3563.404,5628.454,14324.57
1991,14030.483999999999,11838.398,790.8159999999999,805.766,3176.004,5577.338,14015.534
1992,13974.22,11724.076,738.8679999999999,877.188,3192.8779999999997,5509.7119999999995,13835.9
1993,13683.176,11597.716,874.328,851.708,3278.4179999999997,5257.2,13705.796
1994,13758.16,11532.898,933.608,872.846,3237.8579999999997,5236.478,13818.921999999999
1995,13969.384,11731.434,1033.11,907.6859999999999,3306.576,5322.824,14094.807999999999
1996,14439.671999999999,11917.307999999999,972.5039999999999,1109.4199999999998,3487.926,5229.353999999999,14302.756
1997,14340.403999999999,12004.902,988.3119999999999,1049.386,3401.1119999999996,5363.722,14279.33
1998,14466.217999999999,12119.302,996.1899999999999,1012.7779999999999,3392.3759999999997,5415.6179999999995,14449.63
1999,14463.8,12310.506,1055.548,1028.508,3413.306,5521.5419999999995,14490.84
2000,14990.117999999999,12569.778,1173.484,1094.002,3393.0,5501.34,15069.599999999999
2001,15246.555999999999,12876.942,1190.254,1095.172,3484.0,5699.902,15341.637999999999
2002,15254.044,13221.207999999999,1257.62,997.6719999999999,3549.0,5735.08,15513.992
2003,15840.655999999999,13387.4,1276.86,1361.854,3616.6,5733.052,15755.661999999998
2004,16069.794,13562.068,1252.8619999999999,1321.008,3650.3999999999996,5904.704,16001.648
2005,16200.964,13582.452,1478.386,1597.1019999999999,3673.7999999999997,5994.585999999999,16082.248
2006,16642.964,13731.405999999999,1260.0639999999999,1701.466,3679.0,6026.878,16201.562
2007,16675.152,13767.702,1194.778,1625.2079999999999,3642.6,6221.982,16244.722
2008,16671.746,13721.63,1083.4199999999998,1606.02,3627.0,6109.116,16149.145999999999
2009,15508.22,12934.271999999999,1088.334,1407.432,3619.2,5252.545999999999,15189.122
2010,16461.12,13832.155999999999,1117.012,1505.8419999999999,3684.2,5941.13,16072.289999999999
2011,15941.197999999999,13646.802,1326.078,1423.9679999999998,3551.6,6090.084,15843.307999999999
2012,16336.137999999999,13637.598,1202.9679999999998,1737.06,3562.0,5995.392,15802.045999999998
2013,16606.226,13580.06,1019.7719999999999,1856.79,3536.0,5924.099999999999,15769.207999999999
2014,16322.956,13305.707999999999,1051.31,1932.32,3369.6,6054.411999999999,15441.946
2015,16856.007999999998,13388.622,962.208,2217.54,3346.2,5949.45,15600.676
2016,16911.674,13456.403999999999,736.788,2050.438,3333.2,5994.924,15598.024
2017,16996.798,13492.778,723.8919999999999,2087.826,3404.024,6037.902,15632.864
2018,16652.167999999998,13244.243999999999,824.9019999999999,2092.038,3324.8799999999997,5998.824,15385.032
2019,15779.841999999999,12909.39,1043.2759999999998,1892.618,3290.0139999999997,5804.942,14930.5
2020,14962.011999999999,12537.902,1244.1779999999999,1738.932,3313.076,5502.353999999999,14467.258
2021,15412.779199999997,12993.175,1345.0059999999999,1827.956,3419.0,5702.527999999999,14929.829199999998
2022,15052.64839,12407.173999999999,1282.606,1991.262,3487.536,5359.509999999999,14343.99239
2023,13594.645999999999,12063.662,1801.982,1562.1319999999998,3417.8039999999996,4951.907999999999,13834.496
2024,13364.233999999999,12266.644,2123.1079999999997,1440.114,3443.388,5111.157999999999,14047.228
